product_id,customer_id,customer_name,rating,title,content,thank_count,created_at
176522044,10552912.0,Nguyễn Anh Xuyên,5,Cực kì hài lòng,,0,1690116227
160584223,25600324.0,Tran Huu Duc,5,Cực kì hài lòng,Chưa nhận được hàng nhé Tiki,0,1644416025
112695131,71487.0,Phạm Vũ Thiên  Kim,5,Cực kì hài lòng,,0,1636888217
1724879,14262393.0,Lương Đức Trọng ,5,"rat tot, nhu hinh mieu ta","rat tot, nhu hinh mieu ta
rat tot, nhu hinh mieu ta
rat tot, nhu hinh mieu ta
rat tot, nhu hinh mieu ta
rat tot, nhu hinh mieu ta
rat tot, nhu hinh mieu ta",0,1597644484
1724879,523952.0,Thu Giang,3,Bình thường,"Đổ nước bị trào ngay mép gần miệng,  do nắp bình không khít.",0,1584344891
1724879,1862472.0,Vy Minh,5,Cực kì hài lòng,Mẫu mã đẹp. Thương hiệu của Đức nên hoàn toàn an tâm về chất lượng.,3,1544234358
1724879,192910.0,Dennis Nguyen,5,Sử dụng tốt,"Hài lòng khi sử dụng sản phẩm này, không gây mùi hôi nhựa khó chịu như những bình đun sôi khác",2,1538448612
1890791,8631162.0,Đào Van Phat,5,Cực kì hài lòng,,0,1749715410
1890791,19828820.0,An Bình,4,Hài lòng,Giá cao quá!,0,1614391958
1890791,14568000.0,Trần Văn Kha,5,Cực kì hài lòng,,0,1614032316
275441946,1416891.0,nguyễn quang,2,Không hài lòng,"Ấm không báo còi như mong muốn .
Đổ đầy 2,7 lít mà ngồi cách 3 mét là khỏi nghe !",0,1733387330
76656586,23876682.0,Ngan Tran,5,Cực kì hài lòng,đẹp,0,1657352466
76656586,653489.0,Bui Viet Khuong,5,Cực kì hài lòng,"Ấm đẹp, chất lượng, chắc chắn.",0,1618200211
76656586,10210650.0,Mỵ Hằng,4,Hài lòng,,0,1621692778
76656586,17567618.0,Bich Lien Nguyen,4,Hài lòng,,0,1621140571
76656586,180577.0,Bao Doan,5,Cực kì hài lòng,,1,1620092954
76656586,183847.0,Nguyễn Minh Thoại,5,Cực kì hài lòng,,0,1618125416
76656586,10444177.0,Nhi Nguyen,5,Cực kì hài lòng,,0,1615013447
250050030,30360153.0,Nguyễn Thành Hưng ,5,Cực kì hài lòng,,0,1745753919
